Season,Driver,Constructor
2005,Fernando Alonso,Renault
2006,Fernando Alonso,Renault
2007,Kimi Raikkonen,Ferrari
2008,Lewis Hamilton,McLaren
2009,Jenson Button,Brawn GP
2010,Sebastian Vettel,Red Bull Racing
2011,Sebastian Vettel,Red Bull Racing
2012,Sebastian Vettel,Red Bull Racing
2013,Sebastian Vettel,Red Bull Racing
2014,Lewis Hamilton,Mercedes
2015,Lewis Hamilton,Mercedes
2016,Nico Rosberg,Mercedes
2017,Lewis Hamilton,Mercedes
2018,Lewis Hamilton,Mercedes
2019,Lewis Hamilton,Mercedes
2020,Lewis Hamilton,Mercedes
2021,Max Verstappen,Red Bull Racing
2022,Max Verstappen,Red Bull Racing
2023,Max Verstappen,Red Bull Racing
2024,Max Verstappen,Red Bull Racing
2025,TBD,TBD
